,numero_empleado,desvinculado,genero,edad,año_nacimiento,estado_civil,nivel_estudios,campo_estudios,frecuencia_viaje,distancia_domicilio,teletrabajo,tipo_jornada,formaciones_ultimo_año,trabajos_anteriores,años_en_activo,antigüedad_empresa,años_ultimo_ascenso,años_mismo_responsable,años_puesto_actual,departamento,rol_y_departamento,categoria,puesto,horas_extras,evaluacion_desempeño,tarifa_hora,tarifa_diaria,tarifa_mensual,ingreso_mensual,%_incremento_salarial,recibe_mismo_salario,acceso_acciones_empresa,nivel_compromiso,nivel_satisfaccion_global,nivel_satisfaccion_trabajo,nivel_ satisfaccion_relaciones,nivel_satisfaccion_conciliacion
23,"820,0",No,1,47,1976,Married,2,Other,,3.22,False,"80,0",3,1,,26,3,0,,,,4,manager,,"3,0",33.0,202.0,12982,16752.0,11,16752.0,1,3,3,4,3,"2,0"
24,,No,0,36,1987,,2,Life Sciences,travel_rarely,67.59,True,,1,1,"18,0",18,4,11,,,,2,sales executive,,"3,0",56.0,928.0,2823,6201.0,14,6201.0,1,3,42,4,4,
25,,No,1,35,1988,Married,3,Life Sciences,,14.48,False,"80,0",2,1,"17,0",17,5,15,,,,3,manufacturing director,Yes,"4,0",66.0,607.0,23457,,20,,1,2,4,3,2,"3,0"
26,,Yes,1,52,1971,Married,1,,,3.22,1,,3,1,"33,0",32,6,9,,,,5,manager,No,"3,0",57.0,266.0,25846,19845.0,15,19845.0,1,1,1,4,4,"3,0"
27,"1294,0",No,1,36,1987,Single,4,Life Sciences,,3.22,0,,2,9,"18,0",16,5,12,,,,2,manufacturing director,Yes,"3,0",53.0,429.0,2323,,11,,0,3,3,2,4,"3,0"
28,,No,0,33,1990,Married,4,Life Sciences,travel_rarely,45.06,Yes,,3,1,"15,0",15,5,7,,,,2,laboratory technician,,"3,0",79.0,589.0,22949,,12,,1,3,2,3,2,"3,0"
29,"1774,0",No,0,34,1989,,3,Life Sciences,non-travel,16.09,1,,3,1,"15,0",15,0,7,,sales,sales executive  -  sales,2,sales executive,Yes,"3,0",87.0,,12313,4001.0,14,4001.0,1,3,4,3,3,"3,0"
30,"1815,0",No,1,41,1982,Divorced,1,,,59.55,Yes,,3,0,,22,13,5,,sales,sales executive  -  sales,3,sales executive,,"3,0",81.0,,26458,10447.0,13,10447.0,1,3,37,3,4,"4,0"
31,"1993,0",No,0,47,1976,,3,Medical,,40.23,Yes,,3,2,"25,0",17,12,11,,research & development,healthcare representative  -  research & development,3,healthcare representative,,"4,0",84.0,1180.0,13084,,23,,0,3,1,3,2,"3,0"
32,"32,0",No,1,53,1970,,3,,travel_rarely,8.05,Yes,,3,4,"26,0",14,4,8,,,,5,manager,,"3,0",58.0,1282.0,10735,,11,,1,3,3,3,4,"2,0"
33,"100,0",No,0,35,1988,Single,4,Marketing,,1.61,0,"80,0",2,0,"16,0",15,2,8,,,,2,sales executive,No,,32.0,776.0,23016,,14,,0,2,3,1,2,"3,0"
34,,No,1,34,1989,Single,4,Other,travel_rarely,9.66,True,,3,1,"16,0",16,2,10,,,,2,research scientist,,"3,0",41.0,665.0,12482,,14,,0,3,1,3,3,"3,0"
35,"244,0",No,1,46,1977,Divorced,2,,travel_rarely,1.61,Yes,,2,1,"24,0",24,15,7,,,,3,sales executive,No,"4,0",92.0,526.0,2137,,25,,3,3,2,1,3,"3,0"
36,"327,0",No,1,43,1980,Married,3,,,25.75,1,,3,5,"22,0",17,1,9,,,,4,manager,,"4,0",80.0,1034.0,7744,16064.0,22,16064.0,1,3,4,4,3,"3,0"
37,"373,0",No,0,36,1987,Married,3,Life Sciences,,9.66,True,,4,0,"16,0",15,10,11,,research & development,laboratory technician  -  research & development,1,laboratory technician,,"3,0",47.0,1403.0,20251,3210.0,11,3210.0,1,3,4,4,3,"3,0"
38,,No,1,60,1963,Married,3,,travel_frequently,45.06,1,,5,4,"22,0",18,13,11,"13,0",,,3,sales executive,No,"3,0",80.0,1499.0,2845,10266.0,19,10266.0,0,2,3,1,4,"4,0"
39,"729,0",No,0,40,1983,Married,4,,travel_frequently,8.05,0,"80,0",2,5,"20,0",18,1,12,,,,3,sales executive,Yes,"4,0",48.0,580.0,23772,10475.0,21,10475.0,1,2,4,1,3,"3,0"
40,"830,0",No,1,32,1991,Married,3,,travel_rarely,6.44,0,"80,0",3,1,"14,0",14,6,8,,,,2,manufacturing director,No,"3,0",98.0,859.0,19124,6162.0,12,6162.0,1,2,3,3,3,"3,0"
41,,No,0,41,1982,Single,3,,travel_rarely,56.33,1,,3,2,"20,0",18,2,17,,,,1,laboratory technician,Yes,,59.0,263.0,3119,4721.0,13,4721.0,0,3,35,1,3,"3,0"
42,"981,0",No,0,53,1970,Divorced,2,Medical,,3.22,False,,3,6,"22,0",17,15,2,,,,4,manager,No,"3,0",,1376.0,13938,,13,,1,3,3,3,3,"4,0"
43,"1042,0",Yes,1,36,1987,Single,4,,travel_rarely,25.75,Yes,"80,0",1,1,"18,0",17,15,14,,,,1,laboratory technician,,"3,0",43.0,885.0,8269,,16,,0,4,3,1,3,"3,0"
44,"1080,0",No,1,46,1977,Divorced,4,Life Sciences,,12.87,0,,2,8,,16,1,7,,,,2,research scientist,Yes,"4,0",74.0,1003.0,21029,4615.0,23,4615.0,3,2,4,1,1,"3,0"
45,"1995,0",No,0,38,1985,Married,4,,travel_rarely,1.61,1,,3,0,"16,0",15,5,8,,,,2,sales executive,No,"3,0",86.0,1321.0,7636,,15,,2,3,4,2,1,
46,"145,0",No,1,51,1972,Single,4,,,1.61,True,,1,3,"23,0",13,12,8,,,,3,healthcare representative,,"4,0",30.0,,25796,,20,,0,2,1,1,3,"2,0"
47,"158,0",No,0,43,1980,Married,2,,,41.84,1,"80,0",3,1,"25,0",25,4,12,,,,4,manager,Yes,"3,0",92.0,394.0,19494,16959.0,12,16959.0,2,3,3,4,4,"4,0"
48,"391,0",No,1,37,1986,Single,3,Life Sciences,,1.61,Yes,"80,0",3,1,,17,5,7,,,,1,research scientist,No,"3,0",42.0,1372.0,15881,,12,,0,3,4,4,2,"3,0"
49,"436,0",No,1,32,1991,Married,2,Technical Degree,travel_rarely,12.87,True,"80,0",2,1,,13,11,9,"12,0",,,2,sales executive,Yes,"3,0",65.0,,24624,,11,,0,2,3,2,4,"3,0"
50,,No,1,38,1985,Married,3,,,1.61,False,,3,1,"15,0",15,5,11,,,,3,research director,,"3,0",80.0,1333.0,16292,,13,,1,3,4,1,2,"3,0"
51,"1527,0",No,1,46,1977,,3,Life Sciences,,4.83,Yes,"80,0",2,8,"23,0",13,5,1,,,,4,manager,No,"3,0",51.0,228.0,11380,,12,,1,3,3,2,4,"4,0"
52,,Yes,0,35,1988,Married,3,Medical,travel_rarely,16.09,0,,3,9,"15,0",13,6,0,,,,3,sales executive,,"3,0",55.0,737.0,21530,10306.0,17,10306.0,0,2,4,1,3,
53,"1866,0",No,1,43,1980,Married,3,Medical,,9.66,Yes,,2,7,"21,0",16,6,14,,,,5,manager,No,"3,0",81.0,823.0,22539,,13,,0,2,1,3,4,"3,0"
54,"2026,0",No,0,56,1967,Divorced,4,Life Sciences,non-travel,1.61,Yes,,2,1,,13,1,9,,,,2,healthcare representative,No,,57.0,667.0,26236,,21,,1,3,3,3,1,"2,0"
55,,No,0,36,1987,divorced,4,Marketing,non-travel,24.14,1,"80,0",4,1,,15,11,11,,,,2,sales executive,No,"4,0",88.0,301.0,10436,5406.0,24,5406.0,1,1,4,4,1,"2,0"
56,"107,0",No,1,38,1985,,3,Medical,,9.66,Yes,,3,7,"17,0",13,1,9,,,,2,research scientist,,"3,0",79.0,573.0,15717,,12,,3,1,2,4,4,"3,0"
57,"170,0",No,1,49,1974,,4,Medical,,41.84,0,,2,1,"16,0",15,5,11,,,,2,manufacturing director,No,"3,0",96.0,,5549,,14,,0,3,3,1,3,"2,0"
58,,No,1,39,1984,Married,4,Life Sciences,travel_rarely,6.44,Yes,"80,0",1,4,"17,0",15,5,9,,,,2,sales executive,,"3,0",47.0,1329.0,14590,5902.0,14,5902.0,1,2,4,3,3,"4,0"
59,"215,0",No,0,40,1983,Married,4,,,6.44,Yes,,2,7,"15,0",12,2,11,,,,3,sales executive,No,,67.0,630.0,8552,10855.0,11,10855.0,1,2,3,4,1,"2,0"
60,"304,0",No,0,36,1987,Single,2,,,8.05,1,"80,0",3,8,"16,0",13,3,7,,,,2,laboratory technician,No,"3,0",62.0,,9945,5914.0,16,5914.0,0,3,4,2,4,"4,0"
61,"529,0",No,1,37,1986,Married,5,,,40.23,0,"80,0",2,3,"15,0",13,10,7,,,,2,research scientist,Yes,"3,0",72.0,1063.0,23866,,15,,2,3,2,3,1,"3,0"
62,"691,0",No,0,35,1988,,4,,,9.66,Yes,,3,1,,17,11,8,,,,2,research scientist,,"3,0",82.0,1017.0,19368,6646.0,13,6646.0,0,1,2,4,2,"3,0"
63,"692,0",No,0,33,1990,Divorced,3,Life Sciences,travel_frequently,9.66,False,,2,3,"15,0",13,4,7,,,,2,healthcare representative,No,"4,0",,1296.0,5335,,23,,1,3,3,4,3,"1,0"
64,"1005,0",No,0,50,1973,Married,3,,travel_rarely,38.62,False,,2,3,"22,0",12,1,5,,research & development,manufacturing director  -  research & development,4,manufacturing director,Yes,"3,0",,939.0,4161,13973.0,18,13973.0,1,3,4,3,4,"3,0"
65,"1024,0",No,0,48,1975,Single,4,,travel_rarely,6.44,Yes,"80,0",3,7,"27,0",15,4,8,"11,0",,,3,healthcare representative,,,78.0,1355.0,22245,,14,,0,2,3,3,2,"3,0"
66,"1039,0",No,1,44,1979,Married,3,,travel_rarely,45.06,1,"80,0",2,3,,12,11,11,,sales,sales executive  -  sales,4,sales executive,,"3,0",53.0,1448.0,11737,13320.0,18,13320.0,1,4,4,4,3,"3,0"
67,"1225,0",No,0,44,1979,Single,4,,travel_rarely,46.67,Yes,,3,1,,20,13,17,,,,2,research scientist,,"4,0",32.0,200.0,7744,,25,,0,3,4,4,2,"3,0"
68,"1375,0",No,1,40,1983,,1,,,40.23,True,,0,5,"15,0",12,11,8,,,,2,healthcare representative,No,"4,0",89.0,1202.0,13888,,20,,3,4,25,3,2,"3,0"
69,,No,1,34,1989,Single,4,,travel_rarely,3.22,True,"80,0",2,1,"14,0",14,4,11,,,,2,healthcare representative,,"3,0",98.0,404.0,6163,6687.0,11,6687.0,0,3,3,4,4,"4,0"
70,,No,1,35,1988,,4,,non-travel,12.87,True,"80,0",5,1,,14,2,9,,research & development,healthcare representative  -  research & development,2,healthcare representative,,"3,0",52.0,208.0,12250,,12,,1,3,3,3,4,"3,0"
71,,No,1,50,1973,,5,Life Sciences,,27.36,0,,3,5,,14,1,11,"11,0",,,3,research director,No,"3,0",50.0,813.0,21981,,15,,3,2,4,1,3,"3,0"
72,"1661,0",No,1,49,1974,,1,Life Sciences,,9.66,Yes,"80,0",3,2,,15,2,12,,,,4,healthcare representative,,"3,0",41.0,465.0,11652,,19,,1,2,3,3,2,"3,0"
73,"1668,0",No,0,38,1985,,3,Life Sciences,travel_frequently,1.61,True,"80,0",4,7,"19,0",13,2,9,,,,2,research scientist,No,"3,0",90.0,1189.0,9867,4735.0,15,4735.0,2,3,4,4,4,
74,"1698,0",No,0,33,1990,,3,,,33.8,True,,6,1,"14,0",14,2,13,,,,1,laboratory technician,No,"3,0",79.0,,13637,,18,,3,4,2,2,4,
75,,No,1,47,1976,Divorced,3,Life Sciences,travel_rarely,6.44,Yes,,4,8,,22,14,10,,,,3,manufacturing director,Yes,,92.0,1001.0,19271,,12,,1,2,3,2,3,"3,0"
76,"1937,0",No,1,38,1985,Divorced,3,,,12.87,0,,3,1,"20,0",20,0,7,,research & development,research scientist  -  research & development,2,research scientist,,"3,0",58.0,1394.0,18115,,16,,1,2,4,2,3,"3,0"
77,"2017,0",No,1,37,1986,,3,Life Sciences,travel_rarely,16.09,Yes,,2,1,"16,0",16,6,8,,,,3,research director,Yes,"4,0",42.0,161.0,15471,,25,,1,4,3,4,1,"3,0"
78,"117,0",No,0,30,1993,Married,3,,,3.22,Yes,"80,0",3,1,"11,0",11,10,8,,,,2,healthcare representative,No,,99.0,288.0,15830,,19,,3,2,3,4,1,"3,0"
79,"131,0",No,0,58,1965,Single,4,,travel_rarely,28.97,1,,1,0,"38,0",37,1,8,,,,4,sales executive,,"3,0",37.0,682.0,24409,13872.0,13,13872.0,0,3,4,3,3,"2,0"
80,"153,0",No,1,34,1989,Single,3,,travel_rarely,8.05,0,"80,0",6,2,"14,0",11,5,8,,,,3,manager,,"3,0",45.0,1354.0,5615,,12,,0,2,3,1,4,"3,0"
81,,Yes,1,58,1965,Married,4,Medical,travel_rarely,37.01,Yes,,3,1,"40,0",40,15,6,,,,3,healthcare representative,,"3,0",94.0,147.0,3465,,12,,1,3,4,4,4,"2,0"
82,"307,0",No,0,38,1985,Divorced,3,Life Sciences,,4.83,1,,6,0,,16,5,13,,,,3,sales executive,,"3,0",76.0,119.0,9647,,12,,2,3,1,3,3,"2,0"
83,,No,1,29,1994,Married,1,,travel_frequently,1.61,True,,5,1,"11,0",11,4,1,,,,3,sales executive,,"3,0",42.0,1413.0,6599,,14,,1,3,2,4,4,"3,0"
84,"374,0",No,0,55,1968,Single,3,Medical,travel_rarely,1.61,1,,2,0,"37,0",36,4,13,,,,5,manager,,"3,0",81.0,452.0,18938,19045.0,14,19045.0,0,3,4,1,3,"3,0"
85,,No,0,41,1982,,4,,,16.09,Yes,,2,1,,22,0,4,,,,4,manager,,"3,0",88.0,334.0,15896,16015.0,19,16015.0,0,3,4,2,2,"3,0"
86,,No,0,39,1984,,3,,travel_rarely,1.61,0,"80,0",5,0,"19,0",18,3,7,,research & development,healthcare representative  -  research & development,3,healthcare representative,No,,48.0,1132.0,10942,9613.0,17,9613.0,3,4,3,4,1,"2,0"
87,,No,0,38,1985,,2,Life Sciences,,24.14,1,,3,0,,11,2,9,,,,3,research director,,"3,0",92.0,,15682,11510.0,14,11510.0,1,2,3,4,2,"3,0"
88,,No,0,43,1980,,3,,,19.31,True,"80,0",3,1,,25,3,9,,,,4,research director,No,"3,0",59.0,982.0,4345,,11,,1,2,1,2,3,
89,"524,0",No,1,31,1992,Married,2,,,48.28,Yes,"80,0",5,1,"13,0",13,3,12,,,,2,manufacturing director,No,"3,0",31.0,480.0,4156,4306.0,12,4306.0,1,3,2,1,2,"1,0"
90,"569,0",No,0,50,1973,Marreid,4,Life Sciences,travel_rarely,43.45,True,,2,0,"28,0",27,15,7,,research & development,manager  -  research & development,4,manager,No,"3,0",88.0,1099.0,9314,17046.0,15,17046.0,1,2,27,3,2,"3,0"
91,"899,0",No,0,35,1988,Married,3,Technical Degree,,40.23,0,,2,3,,13,4,8,,,,3,manufacturing director,No,,78.0,672.0,9129,,16,,0,2,4,2,1,"3,0"
92,,No,0,47,1976,,4,,,25.75,Yes,,3,1,"20,0",19,2,7,,,,2,manufacturing director,Yes,"3,0",64.0,1379.0,6759,5067.0,19,5067.0,0,4,3,3,3,
93,"1014,0",No,1,35,1988,Divorced,4,,,40.23,1,,3,1,,16,10,1,,research & development,healthcare representative  -  research & development,3,healthcare representative,Yes,,57.0,583.0,6975,,11,,1,3,3,3,3,"2,0"
94,,No,0,40,1983,Married,4,,travel_rarely,32.19,1,,6,4,"14,0",11,11,1,,,,3,healthcare representative,,"4,0",61.0,1492.0,26542,,20,,1,3,1,4,4,"3,0"
95,"1117,0",No,1,45,1978,Married,4,Life Sciences,,14.48,0,"80,0",2,1,"15,0",15,4,12,,sales,sales executive  -  sales,2,sales executive,,"3,0",65.0,1050.0,17970,,13,,1,2,2,3,4,"3,0"
96,"1238,0",No,0,33,1990,Married,3,Medical,,14.48,False,,5,0,"15,0",14,4,10,,research & development,research scientist  -  research & development,1,research scientist,,"3,0",60.0,117.0,6311,,13,,1,3,1,4,2,"3,0"
97,,No,0,36,1987,Married,3,,travel_frequently,4.83,False,,2,1,"12,0",11,0,7,,,,1,research scientist,No,"3,0",46.0,469.0,9256,3692.0,12,3692.0,0,3,3,2,3,"2,0"
98,"1277,0",Yes,1,45,1978,,3,Marketing,,20.92,True,,2,2,"26,0",24,1,11,,,,5,manager,Yes,"3,0",94.0,,2493,,16,,0,1,1,2,1,"3,0"
99,,No,0,51,1972,,3,,travel_frequently,43.45,0,,5,4,,29,11,10,,,,5,manager,Yes,,83.0,237.0,19196,19847.0,24,19847.0,1,3,27,2,1,"2,0"
100,"1541,0",No,0,34,1989,,2,Technical Degree,travel_rarely,11.27,0,,4,0,"12,0",11,5,7,,,,1,sales representative,Yes,"4,0",55.0,1440.0,4944,2308.0,25,2308.0,1,3,2,3,2,"3,0"
101,"1666,0",No,0,43,1980,,2,,travel_rarely,24.14,1,,3,1,,14,6,11,,research & development,research director  -  research & development,4,research director,No,"4,0",65.0,1291.0,3525,,24,,1,2,3,3,1,"3,0"
102,"1696,0",No,0,34,1989,,2,Medical,,8.05,0,,3,1,,15,4,13,,,,2,laboratory technician,No,"3,0",57.0,1157.0,11912,,14,,1,2,2,4,3,
103,"1805,0",No,0,38,1985,Divorced,3,,,3.22,1,,3,5,"13,0",11,3,8,,,,1,human resources,No,"3,0",100.0,1336.0,7129,,13,,3,3,1,2,4,"3,0"
104,,No,0,48,1975,,3,,,16.09,0,,3,4,"29,0",22,12,9,,,,5,research director,No,"3,0",91.0,1224.0,13583,,12,,0,2,4,2,4,"3,0"
105,"1932,0",No,0,34,1989,Married,4,Other,,35.41,False,,3,1,"16,0",15,6,11,,research & development,research scientist  -  research & development,2,research scientist,Yes,"3,0",86.0,735.0,26496,5747.0,15,5747.0,0,2,3,4,2,"3,0"
106,"2016,0",No,1,32,1991,,4,,travel_rarely,49.89,Yes,,3,1,"14,0",14,5,7,,,,3,sales executive,No,"3,0",48.0,,24032,10422.0,19,10422.0,2,3,31,4,3,"3,0"
107,"20,0",No,1,29,1994,Divorced,4,Life Sciences,travel_rarely,33.8,0,,1,1,"10,0",10,8,8,,,,3,manufacturing director,No,"3,0",51.0,1389.0,10195,,11,,1,4,2,1,3,"3,0"
108,,No,0,46,1977,Married,3,Medical,,1.61,False,,5,2,"21,0",10,9,5,,,,3,healthcare representative,Yes,"3,0",40.0,638.0,3142,,13,,1,2,3,1,3,"2,0"
109,"184,0",No,0,30,1993,Married,3,,,14.48,0,"80,0",2,0,,11,4,7,,human resources,human resources  -  human resources,2,human resources,Yes,"3,0",48.0,1240.0,13982,6347.0,19,6347.0,0,3,3,4,4,"1,0"
110,"206,0",No,0,45,1978,,3,Life Sciences,,14.48,Yes,,2,8,"20,0",17,0,15,,,,2,laboratory technician,No,"3,0",60.0,194.0,10901,2348.0,18,2348.0,1,3,2,2,3,
111,"228,0",No,1,30,1993,,3,,travel_rarely,8.05,True,,2,2,,10,7,4,,,,3,sales executive,No,"3,0",41.0,1339.0,8053,,12,,1,3,2,4,3,"3,0"
112,"239,0",No,0,30,1993,,3,,,14.48,Yes,"80,0",4,1,"12,0",12,6,10,,,,2,laboratory technician,No,,66.0,111.0,11012,3072.0,11,3072.0,2,3,3,1,3,"3,0"
113,"256,0",No,0,34,1989,Married,1,,travel_frequently,46.67,False,,2,1,"10,0",10,1,9,,,,2,manufacturing director,,"3,0",45.0,,14074,,17,,0,2,4,3,3,"2,0"
114,,No,0,51,1972,Married,4,Life Sciences,travel_rarely,12.87,0,,5,5,"16,0",10,4,7,,,,3,research director,No,"3,0",81.0,1469.0,15736,12490.0,16,12490.0,2,2,2,2,4,"1,0"
115,"339,0",No,0,34,1989,,4,Life Sciences,,62.76,1,,3,6,"13,0",11,5,9,,,,2,manufacturing director,,"3,0",84.0,470.0,23687,,13,,1,2,39,1,2,"3,0"
116,"406,0",No,0,35,1988,Married,3,,travel_rarely,25.75,1,,3,0,"12,0",11,6,9,,,,3,sales executive,,"3,0",96.0,1232.0,5100,8020.0,15,8020.0,2,3,3,2,3,"2,0"
117,,No,0,45,1978,,3,Life Sciences,travel_frequently,11.27,Yes,,2,1,"24,0",24,9,11,,,,3,laboratory technician,,"3,0",97.0,1249.0,20308,,18,,1,3,1,1,1,"3,0"
118,"429,0",No,0,39,1984,Married,1,,,16.09,Yes,,3,1,"21,0",21,11,10,,,,4,manager,,,99.0,117.0,5355,17068.0,14,17068.0,0,3,3,1,4,"3,0"
119,,No,1,31,1992,Married,2,,,11.27,False,,2,1,"10,0",10,8,9,,,,3,manufacturing director,No,"4,0",48.0,798.0,14034,8943.0,24,8943.0,1,2,3,3,1,"3,0"
120,"444,0",No,0,39,1984,Married,2,,,11.27,True,,2,1,,21,13,3,,research & development,manager  -  research & development,5,manager,,"3,0",54.0,672.0,21141,19272.0,15,19272.0,1,2,3,4,1,"3,0"
121,"452,0",No,0,45,1978,,4,,travel_rarely,12.87,True,"80,0",3,9,"12,0",10,9,8,,,,2,research scientist,No,"3,0",75.0,549.0,9278,,14,,2,3,4,4,1,"3,0"
122,"456,0",No,1,30,1993,,3,Marketing,travel_rarely,8.05,Yes,,2,1,"10,0",10,1,2,,sales,sales executive  -  sales,2,sales executive,,"3,0",30.0,570.0,5431,,13,,3,2,4,3,3,"3,0"
123,,No,1,31,1992,,4,Medical,,11.27,False,,2,1,"11,0",11,4,10,,,,3,manufacturing director,,"3,0",39.0,1232.0,25713,,14,,0,3,3,4,3,"2,0"
124,"481,0",No,0,36,1987,Married,4,Medical,,4.83,True,,2,4,"16,0",13,1,12,,,,3,sales executive,No,"3,0",48.0,541.0,7246,,11,,1,2,1,4,1,"3,0"
125,"513,0",No,0,36,1987,Married,2,,travel_rarely,3.22,True,,2,1,"10,0",10,9,0,,,,3,sales executive,,"3,0",61.0,164.0,3809,,13,,2,2,2,3,2,"3,0"
126,"597,0",No,1,55,1968,Single,5,,travel_rarely,28.97,1,,2,3,"37,0",10,7,7,,,,4,manager,No,"4,0",83.0,1117.0,9873,,23,,0,3,1,2,4,"3,0"
127,"600,0",No,0,35,1988,,3,,,1.61,1,,2,9,"15,0",11,6,9,,,,2,sales executive,,"3,0",85.0,619.0,18659,,11,,0,3,2,3,3,"3,0"
128,,No,0,42,1981,Married,3,Medical,travel_rarely,38.62,False,"80,0",5,1,"10,0",10,5,8,,,,3,manufacturing director,,"4,0",56.0,319.0,6950,,21,,1,3,4,1,4,"2,0"
129,"630,0",No,0,52,1971,Divorced,2,,travel_rarely,9.66,Yes,,3,3,"18,0",10,6,9,,,,2,research scientist,Yes,,78.0,956.0,22087,5577.0,12,5577.0,2,3,4,1,2,"3,0"
