,numero_empleado,desvinculado,genero,edad,año_nacimiento,estado_civil,nivel_estudios,campo_estudios,frecuencia_viaje,distancia_domicilio,teletrabajo,tipo_jornada,formaciones_ultimo_año,trabajos_anteriores,años_en_activo,antigüedad_empresa,años_ultimo_ascenso,años_mismo_responsable,departamento,categoria,puesto,horas_extras,evaluacion_desempeño,tarifa_hora,tarifa_diaria,tarifa_mensual,ingreso_mensual,%_incremento_salarial,acceso_acciones_empresa,nivel_compromiso,nivel_satisfaccion_global,nivel_satisfaccion_trabajo,nivel_satisfaccion_relaciones,nivel_satisfaccion_conciliacion
48,391,No,female,37,1986,single,3,Life Sciences,non travel,1,yes,part time,3,1,11,17,5,7,sin asignar,1,research scientist,No,3,42.0,1372.0,15881.0,4859.0,12,0,3,4,4,2,3
49,436,No,female,32,1991,married,2,Technical Degree,travel rarely,12,yes,part time,2,1,11,13,11,9,sin asignar,2,sales executive,Yes,3,65.0,0.0,24624.0,4859.0,11,0,2,3,2,4,3
50,0,No,female,38,1985,married,3,ns/nc,non travel,1,no,full time,3,1,15,15,5,11,sin asignar,3,research director,No,3,80.0,1333.0,16292.0,4859.0,13,1,3,4,1,2,3
51,1527,No,female,46,1977,ns/nc,3,Life Sciences,non travel,4,yes,part time,2,8,23,13,5,1,sin asignar,4,manager,No,3,51.0,228.0,11380.0,4859.0,12,1,3,3,2,4,4
52,0,Yes,male,35,1988,married,3,Medical,travel rarely,16,no,full time,3,9,15,13,6,0,sin asignar,3,sales executive,No,3,55.0,737.0,21530.0,10306.0,17,0,2,4,1,3,3
53,1866,No,female,43,1980,married,3,Medical,non travel,9,yes,full time,2,7,21,16,6,14,sin asignar,5,manager,No,3,81.0,823.0,22539.0,4859.0,13,0,2,1,3,4,3
54,2026,No,male,56,1967,divorced,4,Life Sciences,non travel,1,yes,full time,2,1,11,13,1,9,sin asignar,2,healthcare representative,No,3,57.0,667.0,26236.0,4859.0,21,1,3,3,3,1,2
55,0,No,male,36,1987,divorced,4,Marketing,non travel,24,yes,part time,4,1,11,15,11,11,sin asignar,2,sales executive,No,4,88.0,301.0,10436.0,5406.0,24,1,1,4,4,1,2
56,107,No,female,38,1985,ns/nc,3,Medical,non travel,9,yes,full time,3,7,17,13,1,9,sin asignar,2,research scientist,No,3,79.0,573.0,15717.0,4859.0,12,3,1,2,4,4,3
57,170,No,female,49,1974,ns/nc,4,Medical,non travel,41,no,full time,2,1,16,15,5,11,sin asignar,2,manufacturing director,No,3,96.0,0.0,5549.0,4859.0,14,0,3,3,1,3,2
58,0,No,female,39,1984,married,4,Life Sciences,travel rarely,6,yes,part time,1,4,17,15,5,9,sin asignar,2,sales executive,No,3,47.0,1329.0,14590.0,5902.0,14,1,2,4,3,3,4
59,215,No,male,40,1983,married,4,ns/nc,non travel,6,yes,full time,2,7,15,12,2,11,sin asignar,3,sales executive,No,3,67.0,630.0,8552.0,10855.0,11,1,2,3,4,1,2
60,304,No,male,36,1987,single,2,ns/nc,non travel,8,yes,part time,3,8,16,13,3,7,sin asignar,2,laboratory technician,No,3,62.0,0.0,9945.0,5914.0,16,0,3,4,2,4,4
61,529,No,female,37,1986,married,5,ns/nc,non travel,40,no,part time,2,3,15,13,10,7,sin asignar,2,research scientist,Yes,3,72.0,1063.0,23866.0,4859.0,15,2,3,2,3,1,3
62,691,No,male,35,1988,ns/nc,4,ns/nc,non travel,9,yes,full time,3,1,11,17,11,8,sin asignar,2,research scientist,No,3,82.0,1017.0,19368.0,6646.0,13,0,1,2,4,2,3
63,692,No,male,33,1990,divorced,3,Life Sciences,travel frequently,9,no,full time,2,3,15,13,4,7,sin asignar,2,healthcare representative,No,4,0.0,1296.0,5335.0,4859.0,23,1,3,3,4,3,1
64,1005,No,male,50,1973,married,3,ns/nc,travel rarely,38,no,full time,2,3,22,12,1,5,research & development,4,manufacturing director,Yes,3,0.0,939.0,4161.0,13973.0,18,1,3,4,3,4,3
65,1024,No,male,48,1975,single,4,ns/nc,travel rarely,6,yes,part time,3,7,27,15,4,8,sin asignar,3,healthcare representative,No,3,78.0,1355.0,22245.0,4859.0,14,0,2,3,3,2,3
66,1039,No,female,44,1979,married,3,ns/nc,travel rarely,45,yes,part time,2,3,11,12,11,11,sales,4,sales executive,No,3,53.0,1448.0,11737.0,13320.0,18,1,4,4,4,3,3
67,1225,No,male,44,1979,single,4,ns/nc,travel rarely,46,yes,full time,3,1,11,20,13,17,sin asignar,2,research scientist,No,4,32.0,200.0,7744.0,4859.0,25,0,3,4,4,2,3
68,1375,No,female,40,1983,ns/nc,1,ns/nc,non travel,40,yes,full time,0,5,15,12,11,8,sin asignar,2,healthcare representative,No,4,89.0,1202.0,13888.0,4859.0,20,3,4,2,3,2,3
69,0,No,female,34,1989,single,4,ns/nc,travel rarely,3,yes,part time,2,1,14,14,4,11,sin asignar,2,healthcare representative,No,3,98.0,404.0,6163.0,6687.0,11,0,3,3,4,4,4
70,0,No,female,35,1988,ns/nc,4,ns/nc,non travel,12,yes,part time,5,1,11,14,2,9,research & development,2,healthcare representative,No,3,52.0,208.0,12250.0,4859.0,12,1,3,3,3,4,3
71,0,No,female,50,1973,ns/nc,5,Life Sciences,non travel,27,no,full time,3,5,11,14,1,11,sin asignar,3,research director,No,3,50.0,813.0,21981.0,4859.0,15,3,2,4,1,3,3
72,1661,No,female,49,1974,ns/nc,1,Life Sciences,non travel,9,yes,part time,3,2,11,15,2,12,sin asignar,4,healthcare representative,No,3,41.0,465.0,11652.0,4859.0,19,1,2,3,3,2,3
73,1668,No,male,38,1985,ns/nc,3,Life Sciences,travel frequently,1,yes,part time,4,7,19,13,2,9,sin asignar,2,research scientist,No,3,90.0,1189.0,9867.0,4735.0,15,2,3,4,4,4,3
74,1698,No,male,33,1990,ns/nc,3,ns/nc,non travel,33,yes,full time,6,1,14,14,2,13,sin asignar,1,laboratory technician,No,3,79.0,0.0,13637.0,4859.0,18,3,4,2,2,4,3
75,0,No,female,47,1976,divorced,3,Life Sciences,travel rarely,6,yes,full time,4,8,11,22,14,10,sin asignar,3,manufacturing director,Yes,3,92.0,1001.0,19271.0,4859.0,12,1,2,3,2,3,3
76,1937,No,female,38,1985,divorced,3,ns/nc,non travel,12,no,full time,3,1,20,20,0,7,research & development,2,research scientist,No,3,58.0,1394.0,18115.0,4859.0,16,1,2,4,2,3,3
77,2017,No,female,37,1986,ns/nc,3,Life Sciences,travel rarely,16,yes,full time,2,1,16,16,6,8,sin asignar,3,research director,Yes,4,42.0,161.0,15471.0,4859.0,25,1,4,3,4,1,3
78,117,No,male,30,1993,married,3,ns/nc,non travel,3,yes,part time,3,1,11,11,10,8,sin asignar,2,healthcare representative,No,3,99.0,288.0,15830.0,4859.0,19,3,2,3,4,1,3
79,131,No,male,58,1965,single,4,ns/nc,travel rarely,28,yes,full time,1,0,38,37,1,8,sin asignar,4,sales executive,No,3,37.0,682.0,24409.0,13872.0,13,0,3,4,3,3,2
80,153,No,female,34,1989,single,3,ns/nc,travel rarely,8,no,part time,6,2,14,11,5,8,sin asignar,3,manager,No,3,45.0,1354.0,5615.0,4859.0,12,0,2,3,1,4,3
81,0,Yes,female,58,1965,married,4,Medical,travel rarely,37,yes,full time,3,1,40,40,15,6,sin asignar,3,healthcare representative,No,3,94.0,147.0,3465.0,4859.0,12,1,3,4,4,4,2
82,307,No,male,38,1985,divorced,3,Life Sciences,non travel,4,yes,full time,6,0,11,16,5,13,sin asignar,3,sales executive,No,3,76.0,119.0,9647.0,4859.0,12,2,3,1,3,3,2
83,0,No,female,29,1994,married,1,ns/nc,travel frequently,1,yes,full time,5,1,11,11,4,1,sin asignar,3,sales executive,No,3,42.0,1413.0,6599.0,4859.0,14,1,3,2,4,4,3
84,374,No,male,55,1968,single,3,Medical,travel rarely,1,yes,full time,2,0,37,36,4,13,sin asignar,5,manager,No,3,81.0,452.0,18938.0,19045.0,14,0,3,4,1,3,3
85,0,No,male,41,1982,ns/nc,4,ns/nc,non travel,16,yes,full time,2,1,11,22,0,4,sin asignar,4,manager,No,3,88.0,334.0,15896.0,16015.0,19,0,3,4,2,2,3
86,0,No,male,39,1984,ns/nc,3,ns/nc,travel rarely,1,no,part time,5,0,19,18,3,7,research & development,3,healthcare representative,No,3,48.0,1132.0,10942.0,9613.0,17,3,4,3,4,1,2
87,0,No,male,38,1985,ns/nc,2,Life Sciences,non travel,24,yes,full time,3,0,11,11,2,9,sin asignar,3,research director,No,3,92.0,0.0,15682.0,11510.0,14,1,2,3,4,2,3
88,0,No,male,43,1980,ns/nc,3,ns/nc,non travel,19,yes,part time,3,1,11,25,3,9,sin asignar,4,research director,No,3,59.0,982.0,4345.0,4859.0,11,1,2,1,2,3,3
89,524,No,female,31,1992,married,2,ns/nc,non travel,48,yes,part time,5,1,13,13,3,12,sin asignar,2,manufacturing director,No,3,31.0,480.0,4156.0,4306.0,12,1,3,2,1,2,1
90,569,No,male,50,1973,married,4,Life Sciences,travel rarely,43,yes,full time,2,0,28,27,15,7,research & development,4,manager,No,3,88.0,1099.0,9314.0,17046.0,15,1,2,2,3,2,3
91,899,No,male,35,1988,married,3,Technical Degree,non travel,40,no,full time,2,3,11,13,4,8,sin asignar,3,manufacturing director,No,3,78.0,672.0,9129.0,4859.0,16,0,2,4,2,1,3
92,0,No,male,47,1976,ns/nc,4,ns/nc,non travel,25,yes,full time,3,1,20,19,2,7,sin asignar,2,manufacturing director,Yes,3,64.0,1379.0,6759.0,5067.0,19,0,4,3,3,3,3
93,1014,No,female,35,1988,divorced,4,ns/nc,non travel,40,yes,full time,3,1,11,16,10,1,research & development,3,healthcare representative,Yes,3,57.0,583.0,6975.0,4859.0,11,1,3,3,3,3,2
94,0,No,male,40,1983,married,4,ns/nc,travel rarely,32,yes,full time,6,4,14,11,11,1,sin asignar,3,healthcare representative,No,4,61.0,1492.0,26542.0,4859.0,20,1,3,1,4,4,3
95,1117,No,female,45,1978,married,4,Life Sciences,non travel,14,no,part time,2,1,15,15,4,12,sales,2,sales executive,No,3,65.0,1050.0,17970.0,4859.0,13,1,2,2,3,4,3
96,1238,No,male,33,1990,married,3,Medical,non travel,14,no,full time,5,0,15,14,4,10,research & development,1,research scientist,No,3,60.0,117.0,6311.0,4859.0,13,1,3,1,4,2,3
97,0,No,male,36,1987,married,3,ns/nc,travel frequently,4,no,full time,2,1,12,11,0,7,sin asignar,1,research scientist,No,3,46.0,469.0,9256.0,3692.0,12,0,3,3,2,3,2
98,1277,Yes,female,45,1978,ns/nc,3,Marketing,non travel,20,yes,full time,2,2,26,24,1,11,sin asignar,5,manager,Yes,3,94.0,0.0,2493.0,4859.0,16,0,1,1,2,1,3
99,0,No,male,51,1972,ns/nc,3,ns/nc,travel frequently,43,no,full time,5,4,11,29,11,10,sin asignar,5,manager,Yes,3,83.0,237.0,19196.0,19847.0,24,1,3,2,2,1,2
100,1541,No,male,34,1989,ns/nc,2,Technical Degree,travel rarely,11,no,full time,4,0,12,11,5,7,sin asignar,1,sales representative,Yes,4,55.0,1440.0,4944.0,2308.0,25,1,3,2,3,2,3
101,1666,No,male,43,1980,ns/nc,2,ns/nc,travel rarely,24,yes,full time,3,1,11,14,6,11,research & development,4,research director,No,4,65.0,1291.0,3525.0,4859.0,24,1,2,3,3,1,3
102,1696,No,male,34,1989,ns/nc,2,Medical,non travel,8,no,full time,3,1,11,15,4,13,sin asignar,2,laboratory technician,No,3,57.0,1157.0,11912.0,4859.0,14,1,2,2,4,3,3
103,1805,No,male,38,1985,divorced,3,ns/nc,non travel,3,yes,full time,3,5,13,11,3,8,sin asignar,1,human resources,No,3,100.0,1336.0,7129.0,4859.0,13,3,3,1,2,4,3
104,0,No,male,48,1975,ns/nc,3,ns/nc,non travel,16,no,full time,3,4,29,22,12,9,sin asignar,5,research director,No,3,91.0,1224.0,13583.0,4859.0,12,0,2,4,2,4,3
105,1932,No,male,34,1989,married,4,Other,non travel,35,no,full time,3,1,16,15,6,11,research & development,2,research scientist,Yes,3,86.0,735.0,26496.0,5747.0,15,0,2,3,4,2,3
106,2016,No,female,32,1991,ns/nc,4,ns/nc,travel rarely,49,yes,full time,3,1,14,14,5,7,sin asignar,3,sales executive,No,3,48.0,0.0,24032.0,10422.0,19,2,3,3,4,3,3
107,20,No,female,29,1994,divorced,4,Life Sciences,travel rarely,33,no,full time,1,1,10,10,8,8,sin asignar,3,manufacturing director,No,3,51.0,1389.0,10195.0,4859.0,11,1,4,2,1,3,3
108,0,No,male,46,1977,married,3,Medical,non travel,1,no,full time,5,2,21,10,9,5,sin asignar,3,healthcare representative,Yes,3,40.0,638.0,3142.0,4859.0,13,1,2,3,1,3,2
109,184,No,male,30,1993,married,3,ns/nc,non travel,14,no,part time,2,0,11,11,4,7,human resources,2,human resources,Yes,3,48.0,1240.0,13982.0,6347.0,19,0,3,3,4,4,1
110,206,No,male,45,1978,ns/nc,3,Life Sciences,non travel,14,yes,full time,2,8,20,17,0,15,sin asignar,2,laboratory technician,No,3,60.0,194.0,10901.0,2348.0,18,1,3,2,2,3,3
111,228,No,female,30,1993,ns/nc,3,ns/nc,travel rarely,8,yes,full time,2,2,11,10,7,4,sin asignar,3,sales executive,No,3,41.0,1339.0,8053.0,4859.0,12,1,3,2,4,3,3
112,239,No,male,30,1993,ns/nc,3,ns/nc,non travel,14,yes,part time,4,1,12,12,6,10,sin asignar,2,laboratory technician,No,3,66.0,111.0,11012.0,3072.0,11,2,3,3,1,3,3
113,256,No,male,34,1989,married,1,ns/nc,travel frequently,46,no,full time,2,1,10,10,1,9,sin asignar,2,manufacturing director,No,3,45.0,0.0,14074.0,4859.0,17,0,2,4,3,3,2
114,0,No,male,51,1972,married,4,Life Sciences,travel rarely,12,no,full time,5,5,16,10,4,7,sin asignar,3,research director,No,3,81.0,1469.0,15736.0,12490.0,16,2,2,2,2,4,1
115,339,No,male,34,1989,ns/nc,4,Life Sciences,non travel,62,yes,full time,3,6,13,11,5,9,sin asignar,2,manufacturing director,No,3,84.0,470.0,23687.0,4859.0,13,1,2,3,1,2,3
116,406,No,male,35,1988,married,3,ns/nc,travel rarely,25,yes,full time,3,0,12,11,6,9,sin asignar,3,sales executive,No,3,96.0,1232.0,5100.0,8020.0,15,2,3,3,2,3,2
117,0,No,male,45,1978,ns/nc,3,Life Sciences,travel frequently,11,yes,full time,2,1,24,24,9,11,sin asignar,3,laboratory technician,No,3,97.0,1249.0,20308.0,4859.0,18,1,3,1,1,1,3
118,429,No,male,39,1984,married,1,ns/nc,non travel,16,yes,full time,3,1,21,21,11,10,sin asignar,4,manager,No,3,99.0,117.0,5355.0,17068.0,14,0,3,3,1,4,3
119,0,No,female,31,1992,married,2,ns/nc,non travel,11,no,full time,2,1,10,10,8,9,sin asignar,3,manufacturing director,No,4,48.0,798.0,14034.0,8943.0,24,1,2,3,3,1,3
120,444,No,male,39,1984,married,2,ns/nc,non travel,11,yes,full time,2,1,11,21,13,3,research & development,5,manager,No,3,54.0,672.0,21141.0,19272.0,15,1,2,3,4,1,3
121,452,No,male,45,1978,ns/nc,4,ns/nc,travel rarely,12,yes,part time,3,9,12,10,9,8,sin asignar,2,research scientist,No,3,75.0,549.0,9278.0,4859.0,14,2,3,4,4,1,3
122,456,No,female,30,1993,ns/nc,3,Marketing,travel rarely,8,yes,full time,2,1,10,10,1,2,sales,2,sales executive,No,3,30.0,570.0,5431.0,4859.0,13,3,2,4,3,3,3
123,0,No,female,31,1992,ns/nc,4,Medical,non travel,11,no,full time,2,1,11,11,4,10,sin asignar,3,manufacturing director,No,3,39.0,1232.0,25713.0,4859.0,14,0,3,3,4,3,2
124,481,No,male,36,1987,married,4,Medical,non travel,4,yes,full time,2,4,16,13,1,12,sin asignar,3,sales executive,No,3,48.0,541.0,7246.0,4859.0,11,1,2,1,4,1,3
125,513,No,male,36,1987,married,2,ns/nc,travel rarely,3,yes,full time,2,1,10,10,9,0,sin asignar,3,sales executive,No,3,61.0,164.0,3809.0,4859.0,13,2,2,2,3,2,3
126,597,No,female,55,1968,single,5,ns/nc,travel rarely,28,yes,full time,2,3,37,10,7,7,sin asignar,4,manager,No,4,83.0,1117.0,9873.0,4859.0,23,0,3,1,2,4,3
127,600,No,male,35,1988,ns/nc,3,ns/nc,non travel,1,yes,full time,2,9,15,11,6,9,sin asignar,2,sales executive,No,3,85.0,619.0,18659.0,4859.0,11,0,3,2,3,3,3
128,0,No,male,42,1981,married,3,Medical,travel rarely,38,no,part time,5,1,10,10,5,8,sin asignar,3,manufacturing director,No,4,56.0,319.0,6950.0,4859.0,21,1,3,4,1,4,2
129,630,No,male,52,1971,divorced,2,ns/nc,travel rarely,9,yes,full time,3,3,18,10,6,9,sin asignar,2,research scientist,Yes,3,78.0,956.0,22087.0,5577.0,12,2,3,4,1,2,3
130,638,No,male,49,1974,ns/nc,4,Life Sciences,non travel,28,yes,full time,5,1,11,31,0,9,sin asignar,5,research director,Yes,3,58.0,1245.0,2125.0,4859.0,17,1,2,4,3,3,3
131,683,No,male,34,1989,married,5,ns/nc,travel rarely,1,yes,part time,4,1,11,10,8,8,research & development,1,research scientist,No,3,42.0,1397.0,7660.0,2691.0,12,1,3,2,4,4,2
132,780,Yes,male,33,1990,single,4,Other,travel rarely,1,no,part time,2,1,10,10,7,8,sin asignar,1,research scientist,No,3,63.0,527.0,5207.0,4859.0,13,0,3,4,4,3,2
133,817,No,male,33,1990,married,3,Medical,non travel,11,yes,full time,3,0,11,13,3,7,research & development,3,research director,No,3,49.0,213.0,25995.0,4859.0,11,0,3,3,3,4,4
134,901,No,female,53,1970,ns/nc,4,ns/nc,travel rarely,37,yes,full time,0,6,33,12,3,8,sin asignar,4,research director,No,3,72.0,0.0,20206.0,4859.0,18,0,3,4,4,3,3
